ID,Job_Experience_Required,Key_Skills,Role_Category,Job_Title
1,0-3 Anios,Javascript|Php|Ajax|Jquery|Json|Laravel|Drupal|Java|Angularjs|Angular|Typescript|,Programacion y Diseno,Desarrollador Junior
2,4-7 Anios,Microservicios|MVC|Java EE|Patrones de Diseno|Javascript|Php|Ajax|Jquery|Json|Laravel|Drupal|Java|Angularjs|Angular|Typescript,Programacion y Diseno,Desarrollador Semisenior
3,8-16 Anios,Microservicios|Opengl|Diseno de sistemas|Desarrollador sfdc| MVC|Java EE|JMS|Inteligencia Artificial|Inteligencia de mercado|Aprendizaje automatico|Patrones de Diseno|Javascript|Php|Ajax|Jquery|Json|Laravel|Drupal|Java|Angularjs|Angular|Typescript,Programacion y Diseno,Desarrollador Senior
4,0-6 Anios,Sql|MySql|MongoDB|Asp.net|Ado.net|Oracle|PostreSql,Programacion y Diseno,Desarrollador Backend
5,0-3 Anios,WordPress|Joomla|Tortaphp| Zend|Html|CSS|Bootstrap,Programacion y Diseno,Desarrollador de Contenido Web
6,0-3 Anios,Html|CSS|Bootstrap|Photoshop,Programacion y Diseno,Disenador Web
7,3-8 Anios,Photoshop|Ilustrador| Bellas artes|Diseno de software|Diseno de interfaz de usuario|desarrollo de juegos,Programacion y Diseno,Artista senior del juego
8,6-11 Anios,Acciones|Estudios de mercado|Habilidades de comunicaciOn,Servicios Financieros  - Banca - Inversiones -  Seguros,Asesor de renta variable senior
9,3-5 Anios,Ejecutivo de cuentas|Contable|Gestion de existencias|Gst|Auditoria|Cumplimiento legal|Contabilidad,Contabilidad,Asistente de contabilidad
10,2-7 Anios,Ingenieria de Ventas,Gerente de Ventas,Ingeniero de Ventas
11,12-18 Anios,Mantenimiento de Equipos|Hidraulica|Gestion de inventario|Habilidades Gerenciales|Jefe de Mantenimiento,GM-Produccion,Jefe de Mantenimiento
12,6-10 Anios,Turismo|Logro de objetivos|Habilidades de negociacion|Gestion de ingresos| Paquetes turisticos,Desarrollo de Negocios,Gerente de Vacaciones
